Alexandre Neto;alexandre.neto@comprador.com.br;11122233301;(11) 98001-1001;Ouro
André Leite;andre.leite@comprador.com.br;11122233302;(11) 98002-2002;Prata
André Rabelo;andre.rabelo@comprador.com.br;11122233303;(11) 98003-3003;Bronze
Bruna Pereira;bruna.pereira@comprador.com.br;11122233304;(11) 98004-4004;Ouro
Caio Souza;caio.souza@comprador.com.br;11122233305;(11) 98005-5005;Prata
Caique Reimberg;caique.reimberg@comprador.com.br;11122233306;(11) 98006-6006;Bronze
Cláudio Coimbra;claudio.coimbra@comprador.com.br;11122233307;(11) 98007-7007;Ouro
Clever Lopes;clever.lopes@comprador.com.br;11122233308;(11) 98008-8008;Prata
Daniel Silva;daniel.silva@comprador.com.br;11122233309;(11) 98009-9009;Bronze
Dannyel Almeida;dannyel.almeida@comprador.com.br;11122233310;(11) 98010-1010;Ouro
Fabio Stoppa;fabio.stoppa@comprador.com.br;11122233311;(11) 98011-1111;Prata
Gabriel Rodrigues;gabriel.rodrigues@comprador.com.br;11122233312;(11) 98012-1212;Bronze
Gabriel Borges;gabriel.borges@comprador.com.br;11122233313;(11) 98013-1313;Ouro
Haniel Ferreira;haniel.ferreira@comprador.com.br;11122233314;(11) 98014-1414;Prata
Isadora Brito;isadora.brito@comprador.com.br;11122233315;(11) 98015-1515;Bronze
Jessé Figueró;jesse.figuero@comprador.com.br;11122233316;(11) 98016-1616;Ouro
Jonathan Nogueira;jonathan.nogueira@comprador.com.br;11122233317;(11) 98017-1717;Prata
José Junior;jose.junior@comprador.com.br;11122233318;(11) 98018-1818;Bronze
Josiane Begnini;josiane.begnini@comprador.com.br;11122233319;(11) 98019-1919;Ouro
Leandro Vianna;leandro.vianna@comprador.com.br;11122233320;(11) 98020-2020;Prata
Leonardo Lima;leonardo.lima@comprador.com.br;11122233321;(11) 98021-2121;Bronze
Luan Fernandes;luan.fernandes@comprador.com.br;11122233322;(11) 98022-2222;Ouro
Lucas Ribeiro;lucas.ribeiro@comprador.com.br;11122233323;(11) 98023-2323;Prata
Lucas Rodrigues;lucas.rodrigues@comprador.com.br;11122233324;(11) 98024-2424;Bronze
Maike Reis;maike.reis@comprador.com.br;11122233325;(11) 98025-2525;Ouro
Maria Souza;maria.souza@comprador.com.br;11122233326;(11) 98026-2626;Prata
Mateus Ferreira;mateus.ferreira@comprador.com.br;11122233327;(11) 98027-2727;Bronze
Matheus Mendes;matheus.mendes@comprador.com.br;11122233328;(11) 98028-2828;Ouro
Paulo Almeida;paulo.almeida@comprador.com.br;11122233329;(11) 98029-2929;Prata
Pedro Valladares;pedro.valladares@comprador.com.br;11122233330;(11) 98030-3030;Bronze
Ricardo Nunes;ricardo.nunes@comprador.com.br;11122233331;(11) 98031-3131;Ouro
Richard Ribeiro;richard.ribeiro@comprador.com.br;11122233332;(11) 98032-3232;Prata
Robson Souza;robson.souza@comprador.com.br;11122233333;(11) 98033-3333;Bronze
Rodrigo Abreu;rodrigo.abreu@comprador.com.br;11122233334;(11) 98034-3434;Ouro
Rodrigo Melo;rodrigo.melo@comprador.com.br;11122233335;(11) 98035-3535;Prata
Rodrigo Antunes;rodrigo.antunes@comprador.com.br;11122233336;(11) 98036-3636;Bronze
Ryan Castro;ryan.castro@comprador.com.br;11122233337;(11) 98037-3737;Ouro
Vagner Junior;vagner.junior@comprador.com.br;11122233338;(11) 98038-3838;Prata
Victor Casagrande;victor.casagrande@comprador.com.br;11122233339;(11) 98039-3939;Bronze
Weverson Vieira;weverson.vieira@comprador.com.br;11122233340;(11) 98040-4040;Ouro
